,Comment
14,lmgs growth is honestly something to truly aspire for this is the content we want to watch more technical in epth engineering oriente an sciencebase content will make us consumers much much more e ucate on these topics thus when picking a pro uct not only will we pick the best choice but well know exactly why we picke it which helps greatly with buyers remorse
15,i love all the people ltt has a e for labs clearly theyre knowle geable an passionate about tech labs is gonna be killer love it
16,linus just turn the key lights 180 an bounce them off the walls you ll get a much softer glow an sha ow an way more even lighting it s such a simple fix i m not sure where along the lines people got the i ea to beam the lights irectly at your face
17,an continues to be my new favorite he has such an air of confi ence about him an a comforting presence like an shows up an you just know things are going to be fine
18,an managing to set up his sol ering station on the one box they nee e was incre ibly amusing to me
19,linus gets on his employees cases for all the stuff stolen from the office also linus prou ly talks about all the stuff stolen from work hes using in his upgra e setup linus why are you using this monitor as a table also linus uses the monitor as a chair this vi eo was hilarious
20,an the man saving the ay riley nee s to give him his own theme like brian the electrician
21,an continues to be a favourite for me hes like the incre ibly patient but longsuffering a who just gets on with things
22,an is a treasure your channel has long lacke a mr fixit type an while i am sa its not me an appears quite capable an funny
23,blows my min how quickly an became the rock upon which all things linus stan slove it
24,hey linus a goo trick for streaming lights bounce them off the wall much easier on the eyes an a nice softer look also for in oors i recommen a hypercar ioi mic looks like a short shotgun like the au iotechnica at4053b
25,unstoppable experiments with liqui nitrogen
26,one of the best things about u e is that he never takes cre it for himself wheb he achieves something he always respect us the au ience an his team an he is always polite is all of his vi eos we congratulate ourselves on this achievement more to come an everything to
27,liqui nitrogen never en s m4tech poli
28,29minutes 48k views 93k likes that is the power of m4tech
29,epozhum safety is first priority goggles on
30,congratulations m4tech for achieving 8 million subscribers
31,everyone has been saying it but i ll throw my hat in as well to any prospective college stu ents you o not nee to spen money on flagship pro ucts i am about to gra uate with a business egree an have been using a 7 year ol laptop an the base ipa from late 2020 both pro ucts have worke flawlessly an i have no intention of replacing them the recommen ations liste are ones i woul never be able to affor even with my job i m working as well o your own research on forums to see what your peers say the best value pro uct is i promise that if you buy a flagship pro uct you will quickly see that you i not nee it
32,shoutout to my oneplus phone an huawei laptop for getting me through university feeling premium for much less bonus ups for ikeas articulating lamps 20 an i can see all my homework incre ibly well without eye strain the ol oor i refinishe to use as a esktop an wire earbu s un er har ware store earmuffs as my noisecancelling hea phones an the same 2 sets of hanes un erwear from target for also lasting the whole ri e
33,you ont necessarily nee the highen an latest tech for university i use a 2009 macbook pro throughout my years at uni ha an iphone 6 an it worke out just fine whats important is to remain focuse on getting that egree an gra uating
34,personally i feel like this is really out of touch most stu ents wont be able to affor these in case anyone nee s it i believe ave2 s back to school vi eo are honestly the best ones ive seen on the topic consi er checking them out too before making a purchase ecision
35,hey everyone goo take on the vi eo an love the recommen ations if you plan on making another vi eo such as this maybe you can also inclu e some more bu get options an best value options what i can tell from my years of stu ying in college an university is that your tech an nee s will be base on what coursesprogramme you took for your e ucation engineering stu ents require computer specs that can run bim software im not sure about the other programmes but from what i can see that most stu ents at my place has 8gb of ram for their laptops also here is my setup uring my university years hope it can help anyone who are looking to buy something for their collegeuniversity years all the best laptop asus x455l upgra e to ss with a itional ram phone vivo y69re mi 10samsung a22 4g mouse logitech g102 keyboar tecware tkl ver
36,i have use galaxy tab s7 uring my ph its been a lifesaver for me first of all it is really goo for rea ing journals note taking an scribbling on the p fs secon ly it oesnt strain your eye that much when you use a computer or a laptop always at a fixe istance thir ly you get the premium version of noteshelf free with tab s7 an lastly if you are from a stem backgroun an use a lot of illustrations or flow process iagrams you can raw those easily with the stylus on tab s7 i choose tab s7 over apple ipa air for its ease of use user interface an cost you get stylus for free with tab s7 an in most cases keyboar too with a huge stu ent iscount
37,this series is exactly what career ay shoul ve been such interesting an knowle geable people
38,how oes every person wire brings on this show act like theyve been in front of cameras 5000 times
39,his face when escribing hops kille me some of them smell pretty ank
40,seasone craft brewery tour gui e here an i m so gla he en e on rink what you like sometimes people get weir ly ju gmental about the beer preferences of others at the en of the ay there are hun re s of beer styles for a reason so everyone can fin at least one style they actually like
41,this guy is a total bro not snobby at all an just wants people to enjoy beer in whatever way they want such a contrast with your stereotypical beverage elitists
42,y all be picking the literal best professionals for these vi eos not only is everyone knowle geable but they all seem passionate an eager to teach us
43,this guy has a face ma e for movies a voice ma e for ra io an a great personality i wanna see more of garrett
44,whenever we get people young enough to actually un erstan the internet these giant tech companies might be broken up but as long as we have 90 year ol senators asking tech ceos how the internet works nothing will get one
45,i live for johns roasts of att
46,ma respect to john oliver an his team for not making us watch a s uring the show major props
47,one important aspect im surprise was left out is that many of these companies like amazon literally power the internet almost 30 of the websites on the internet are store on amazon servers giving them even more access to ata tren s an physical control over the internet
48,back in 2018 when john oliver i the episo e on corporate consoli ation it inspire me so much that i applie for a masters of research program got into a program an i my entire research thesis on tech oligopolies it was shocking to see how ba it really is oligopolies that bor ere in monopolies are rampant my research essentially focuse on the question of whether lack of enforcement of our antitrust laws cause this whole problem or whether lack of a equate laws were the core of the issue the answer was that it was truly both i thoroughly enjoye my pre octoral masters thesis an am consi ering a ph in the future its so lovely to see john talk about this specifically on the tech sector e it wow thanks everyone for the great comments i havent publishe it yet otherwise i woul share it with all you lovely people i am now looking for a policy or qualitative researchanalyst job so if anyone is hiring let me know
49,john oliver eserves an oscar for his can olphins love you monologue
50,hey something that might interest you a couple of ays ago my amazon account was close with no warning for after hours of waste time theyre telling me its for excessive returns which i think is an error but thats besi e the point when they close my amazon account all my amazon evices that i own for years primarily all my echo evices stoppe working i lost access to the amazon photos an prime vi eo which i pay for so apparently the evices you alrea y own are subject to be isable by amazon on your perceive shopping habits i assume the same applies to all other amazon evices an services like fire os tablets ring cameras an probably aws as well just wante to make other people aware of this because they efinitely ont tell you this when you buy your har ware an services
51,hey hey just a hea s up i i turn the le hoo ie on its just not very bright hen youre looking faceon at it you can still sort of see it on aroun the hoo area though if you ha fun on this vi eo heres my collection of extreme unboxing vi eos
52,the safety belt woul ve paire perfectly with the unicycle an those roller boot things
53,that was seriously the most enjoyable thing ive seen in awhile i forgot how ra this channel is well one sir
54,u e i love how genuine your reactions were ive ha fun watching this an not only i was really intereste to see what each one of those ga gets i
55,infinity o ecahe rons are seriously cool i bought another smaller one an i really enjoy it its efinitely an eye catcher an a conversation starter
56,i personally enjoy the ol school phones i have such a har time hearing my iphone at max volume without the speaker on if i worke in an office i woul efinitely buy one people forget how ergonomic those ol phones are its not particularly comfortable hol ing a rectangle to your hea i also have physically sensitive ears so any type of hea phones ear phones whatever cause me a bunch of pain looks like a goo pro uct that can both be a gag an something for people out there like me who have a tough time using a regular mobile phone
57,the fact he i nt buy the nicholas cage spoon is outrageous
58,i have to say it after watching this vi eo it feels like the journey youre on this year has been effective it simply feels like youre enjoying life an its what i enjoy most about watching your vi eos you manage to pass that joy on just the musings of a ran om stranger
59,i havent laughe like this for years oh my gosh arun youve naile this one wen i
60,quality quality quality is everything about this channel arun makes my moo happier vi eo after vi eo lets be searious the best part about this channel is arun making his jokes an when he shows tech
61,as somebo y with a comp sci egree an a ecent amount of irl experience i will say e ge computing is problematic at its core because client si e workloa like this is a huge security breach this is why even online vi eo games avoi client si e scripting it is a huge vector for exploit it is always interesting to watch a vi eo like this because you are blown away when you listen regar ing these other technologies you may not know allot about but when they cover a technology you know about you realize you must question the quality of the info in the other cases where you cannot etermine the quality yourself
62,the fire suppression without water was incre ible it coul save many lives an property especially if it coul be auto activate like a heat etector imagine how much property an how many sleeping people coul be save especially if this ha a built in alarm an was rigge to keep hallways clear of fire what an inventionwow
63,i really appreciate a stu y into the potential a vantages of meta materials in manipulating light emf heat an even replacing silicon as semicon uctors nearly every in ustry can benefit from the improvements an cost re uctions meta materials can provi e really enjoy your vi eos thank you
64,i was totally shocke that fusion power generation wasnt inclu e possibly as big a leap as quantum computing in its impact on humanity
65,i love the one about the hy rogen fuel cellsconsi ering this technology has been aroun for about 20 yearsjust hasnt been use ue to a lack of pressure on the in ustry an the fact that the patent was burie by large corporate interests
66,i wish that when people talke about types of skin amage they acknowle ge what that looks like for people with arker skin we ont get re rashes after sunburn even my arkest bruises are often ifficult to spot because of hyperpigmentation the stages of healing for cuts looks vastly ifferent because we ont see the same change in colors aroun the woun sight not to mention when you look for images to i entify clinical signs 99 of those images are of lighter skin an only marginally helpful to us looking to i entify potentially serious me ical issues
67,she has a very effective way of elivering information in a way that is accessible love her
68,if the lea singer is bret michaels then im sure it is poison that ha me laughing for ages
69,anne is so cool she makes me want to reevaluate my life choices an return to college to become a toxicologist
70,poison support is one of the more interesting ones of this series im gla to see anne back in the seat an schooling us hoping for more
71,my son ha botox injections in his legs for years to relax his muscles enough so he coul wear splits he has cerebral palsy its crazy knowing that this life changing treatment is also the most angerous poison
72,my mom woul ve gone nuts for you while i was growing up lol her big parent fear was toxic chemicals an me getting poisone so she was always lecturing me about stuff un er the sink an making sure i i nt touch the pestici es for the farm once she figure out she coul call pbs an they sen her mr yuck stickers the house an barn were covere in them
73,i love how she says that it is poison in the right ose instea of the wrong ose
74,my husban got sun poisoning last year all the symptoms you escribe it was not fun he sai his sick were he got burne felt tight for a few months after luckily he is a nurse an he was able to give me a vice on how to help him in his recovery
75,marques oes a fantastic job highlighting the features of the link if youre looking for the next level of webcam look no further ope tech ope vi eo
76,the camera is amazing an there are so many people who coul benefit from it a lot
77,i ve been playing with the insta360 link for about a week now as a college professor an e tech trainer i can tell you that this is a complete game changer for online an hybri teaching switching from follow mo e to whiteboar mo e to top own mo e for emos etc is a purely magical experience
78,i honestly have to say while its still insanely expensive 3500 for that monitor isnt as ba as i was expecting an its almost reasonable like its still more than i woul ever spen on a single isplay an im far more into having separate isplays but given what its capable of the specs the tech behin it etc its not that ba i can see a few people getting real use out of something like that
79,imagine losing the cursor on that screen an trying to fin it
80,this monitor is perfect for streaming three 27 monitors in one is amazing but man is it expensive
81,i can see this being goo for e iting an streaming rea ing the chat an playing the game on one screen this is genius
82,geez i nee a e icate stu io for all of this ope tech in my future
83,this has gotta be one of the best ope techs everything here is a hit that i m ef writing own for later
84,i m always looking forwar to these every month so thank you for making them honestly that little lamp an speaker caught my eye the flickering is really cool to me an the speaker is a nice extra
85,the soun test kille me that was hilarious an the wrist rest is brilliant i often get marks on my wrist from my mousepa
86,what a tough selection this month whether it be the soun bar the lamp speaker or even the pc panel isplay they all seem something that woul really improve my set up but for me it may have to be the soun bar one looks smart has nice rgb an a ecent size an price very goo month of tech this month
87,i absolutely love this series all of the items were neat but the only one i woul actually benefit from woul be the chair wheels i have a regular office chair that has to roll on carpet an it is kin of a pain
88,that sensor panel is efinitely convenient been wanting to make my own with a raspberry pi but just fin myself getting off track super cool to just be able to purchase an go
89,the rgb soun bar woul be perfect for my setup i ve been using the speakers in my monitor as my main soun system so it woul be a nice upgra e for me
90,i always love franks energy i also look forwar to the en of every month thinking about this series i love the tilte nation soun bar an i nee that for my set up
91,always great to see this series so many cool things this month my office setup coul use those chair wheels
92,this series has helpe me an my frien s fin some helpful tech that has helpe our setups the pc panel is gonna be a huge upgra e
93,we nee the un er 100 for august as well this is the best series out there
94,one really important point those ionizers can pro uce potentially angerous levels of ozone ue to the negative ions they create in the air i be cautious of all air ionizers unless they are a vertise specifically as bipolar ionizers the one that you recommen e oes pro uce ozone which can be very harmful
95,been a goo while since ive been a stu ent but i still watche the vi to fin out what cool ga gets are out there i nt think i be walking away from it with a pro uctivity tip that i ea of the simple timer is so goo instea of evices that can also o time great vi frank
96,the esktop lamp is efinitely my favorite it s also something i ve been looking for because i up ate to a keyboar that oesn t have shine through keycaps so it s efinitely a nee too
97,i m not a stu ent however i always love seeing the tech always looking to change an upgra e my esk setup for work
98,fantastic vi eo frank you always bring really cool stuff to the front that most of us havent seenhear anything about hope you an the fam are oing well x btw that kb for only 100 i know theyve gotten a lot cheaper but hot amn i ont nee it but i want it lol my biggest complaint with 60 kbs is the lack of arrow keys an this has those an looks super sleek with those colors love it take care man
99,ugh hate when my summer holi ays en at least you brighten my moo with this top tech series thanks
100,awesome variety of pro ucts i also like that you ha more than five or six items love the bu get fin s
101,you misse a feature on the airbolt instea of using the big part of the loop to lock your zippers lock the zippers on the loop where the 2 notches are that way you cant open the bag 3 inches
102,its so crazy to me ive watche you all the way through mi le school till college now over six years an youve grown so much keep working big man reguar less of your age mi le school highschool collegeuniversity we gotchu covere
103,for all the coffee lovers on t forget to check out cometeer an save 20 on your first or er watch best gifts un er 20
104,the kablecar is by far my favorite item on this list when i first saw you have it on the channel i imme iately bought it so easy to carry an being able to charge anything with it is great
105,i just wante to say thank you for making such amazing content we notice all the har work you o an appreciate it so much
106,as a specialty coffee lover those cometeer po s are amazing if i i nt enjoy the long process it takes to brew a fresh cup of coffee i 100 buy them all the time
107,i wasn t prepare for the imme iate start lol
108,thanks for consistently provi ing great vi eos every time i purchase a new evice i come to your channel to fin out the best pro ucts for it
109,love these accessories you always make great vi eos
110,love your vi eos i really hope one ay you make a worksite e c like for construction workers or electricians much love
111,love watching your vi eos just waiting for that best accessories for pixel 6 vi eo
112,love your vi s mankeep up the goo work
113,be careful with the katchy they are known to start smoking at the top so possible fire hazar its possible that this issue coul have been fixe with the newer mo els but just giving you a hea s up great vi eo
114,am i the only one that actually watches these with snacks an rinks been here since 1
115,gotta let your son pick some boxes now he s ol enough to point one out start him in the family business early
116,i love all the interactions an laughs with everyone in this vi eo personally i think j picke the best tech
117,okay j that 130 was efinitely worth it i might get me one a goo buy for a traveling tech hea
118,still the best series to watch while in ulging in a meal cant believe its alrea y the 47th vi eo
119,i absolutely love your wife s expressions when she s interacting with you another gun am play games with you giggle cracks me up
120,thanks for the hea s up about grover im a tech reviewer an ha never hear of it coul be a really nice way for me to get my han s on some items to review very appreciate
121,i love you guys i hope you know that you guys brighten my ay with these massive tech unboxing vi eos
122,the whole i ea of the interchangeable battery to keep going of the steel series is exactly the reason why xbox still uses aa batteries for their controllers i think is in an un ervalue ecision from xbox
123,in my experience burnout comes from realizing that improve performance oesnt pro uce improve rewar s it pro uces more work the response to a job well one is never a couple ays off or a timely bonus instea goo work is rewar e with the eman for twice as much work in the same amount of time firms see young workers as a pro uctivity sponge to be squeeze for all its worth young people are almost never treate as the companys future
124,i am 50 years ol working in the high tech in ustry mentally tire an sick of the weekly 8 to 5 routine never got a proper ay off even through the pan emic hats off to the millenials an genz that think ifferently an put more weight on living rather than just working
125,i think the pan emic has taught people the importance of multiple streams of income unfortunately having a job oesn t mean security
126,successful people ont become that way overnight what most people see at a glance wealth a great career purposeis the result of har work an hustle over time i pray that anyone who rea s this will be successful in life
127,as someone who use to work 80 hours a week quitting my job to become a freelancer was the best thing i have ever one sure i still work a lot of hours an often close to 7080 hrs a week i feel like i am oing this for myself an not some corporation
128,i have a high paying tech job that i m about to leave i feel incre ibly blesse an privilege to have ha it even though i worke har to get to where i am i was promote very fast after 5 years i know it s something many people woul love to have an honestly i m happy that someone else who has worke har will get my spot ultimately i became burnt out an just nee some time to reset my life i have live humbly save every thing i coul pai off ebts as quickly as possible an have enough to live for 8 months to a year i m hoping to come back into the in ustry as a healthier employee or have foun something else fulfilling for anyone wishing they ha one of these jobs or feel frustrate by people that appear to be complaining i hope you achieve your ream an get one you can o it keep at it taking one of these jobs to be financially secure is a blessing i am taking a break because my mental health an stress hospitalize me on t let that scare you i just have my own personal stuff too
129,i m a software eveloper i un erstan the struggle but us tech workers shoul count our lucky stars we are very privilege to be where we are most jobs outsi e of tech have less perks much lower pay an more stress i am grateful every ay to be in this fiel once i accumulate enough wealth to purchase my free om i ll see myself out maybe in the meantime i will run the race as long as i have to
130,the thing is if you give someone all of these perks an a flexible sche ule you nee to also give them the free om to use that flexibility you must make it clear that the company expects you to take own time an you will not be frowne upon either officially or unofficially lea ership nee s to mo el that behavior by taking time off an making sure everyone knows theyre taking time off this also empowers your teams letting them know that you trust them to work without constantly staring over their shoul ers
131,compare that to physicians only 42 sai they were burne out yes in ee a perfectly acceptable percentage
132,i worke a low paying tech job for six years an still felt the burn out the problem is that tech is very fast pace an competition focuse you can barely keep up though i got promote regularly my higher ups tol me the truth before they left they sai that i was severely un erpai base on my skills essentially i bran e myself a one stop shop for the marketing epartment as i am both technically knowle geable people oriente an strategic i maxe out at 50k so i eci e to jump ship with little planne now i run a financial agency with my husban an we make 250k a year as entrepreneurs an we have the free om to set our own lifestyle
133,that boat po looks a lot like a saiyan space capsule i nee one lol
134,those win ow breakers seems like an easy way to rob someone s car
135,i woul love the glasses an the igital artwork frame
136,cool
137,nice i love it
138,amn the mueral canvas is nice too pricey
139,if you coul limit your pro ucts to things that are available retail it woul be awesome kickstarter an in iegogo etc ont count too many scams an faile pro ucts an no protections
140,from all the stuff mentione i have the ji mic amazing recor ing evice
141,this guy must be the richest youtuber i hear his voice on most tech channel
142,from all the stuff mentione i have the ji mic amazing recor ing evice
143,that motion alarm for protecting your laptop makes me laugh if you are taking a break away from your workplace o you really think that the alarm feature woul eter a thief from simply knocking the evice to the floor pick up the laptop an perhaps step on the alarm an crush it in a moment of is ain by the time you get back with your latte after your phone notifies you of your impen ing ba luck your laptop will be off on an exten e trip
144,that cable organiser woul be incre ible in my orm room
145,the trene control alarm will not eter someone who really wants it they will just knock that ga get off an run with your property
146,enjoye your vi eo an i gave it a thumbs up
147,i spent hours researching ash cams a year or so ago an it s almost ma ening how awful sparse an misrepresente information on ash cams is i was totally surprise how un er evelope they are this is a vi eo that is really necessary
148,vi s like these are efinitely a service for looking out for everyone to avoi buying crap an hype in ashcams well one in the research thanks ltt
149,i i not expect to love this vi eo as much as i i it epitomizes the very best of youtube in my opinion a wellma e vi eo with a wellconstructe narrative hoste flawlessly an provi es a genuinely goo service to everyone even if they are not in the market for these pro ucts love your work ltt team
150,thank you linus for spen ing the big bucks an testing all these cameras for our benefit i will be keeping your recommen ations in min when i purchase my camera
151,this is the kin of content that we nee calling out trash markets an helping people fin honest answers oing the si ebysi e comparisons they cant o thanks for this gla to know the rove r24k i got as a gift is not far from really the peak in the market an is goo enough if not overprice a bit
152,yup its amazing though how the market then changes bran s for each country in germany we have an entirely ifferent line of knockoff chinese bran s which ultimately look alike same goes for the australian american market i am kin a stoke to see though what sort of ashcams are actually use within south korea japan if anybo y coul give a hint to that i mean surely they must have great ashcams right japan being the lea ing technology country in the 80s an having a severe amount of car enthusiasts an well south korea being well the main birth place of any technology centre an fab well at least a goo portion in my min i bought this one ue to a recommen ation from a frien of mine problem i have with it is quality relate the gsensor broke not long after i bought the thing an starte using it kin a unfortunate this creates an issue of the thing constantly making emergency recor ings an in that mo e you cant isable the screen from flashing so at night rives youll really get beame in your faze an think someone put a flashlight up to your hea nope its your f ashcam you can improve further the vi eo quality for eg when experincing intense sun glare which is usually cause on these by using a n filter you just have to fin your own way to mount them usually there is full filter clamping solutions because youll have to overshoot with the filter anyhow i i nt o this yet as i i not fin it nessecary to o so but a big german ashcam clip compilation maker i recommen this in one of his ashcam review vi eos half a year ago or so name of the channel is eure vi eos fahrnünftig german amazon thieye cv3211 american market jansite nexigo 80 australian nz market volway
153,in all fairness the viofo actually looks pretty great actually worth consi ering over the thinkware f70 if the bu get isnt too tight
154,when i went looking for a ashcam my main criteria was that it has a super cap instea of a battery cause i really ont think the batteries woul han le the 20 to 30c temps in winter an the exact opposite in the summer along with however much the sun heats up the interior i know you can take them off but i kin a wante an install an forget about it kin of system for actual performance its much better to just fin someone elses footage cause the resolution an other specs are very mislea ing unless you really know your camera sensor specs
155,i ha my suspicions about this for a long time thank you for finally calling this issue out it soun s like theres a hole in the market for a truly high quality ashcam thats not chinese crap hopefully some tech company sees this an swoops in im tire of all these countless trash bran s on amazon with unpronounceable names
156,ive been wanting to make this vi eo for such a long time that royole isplay was just so har to get hol of by holy cow was it worth it to check out my other ri iculous tech unboxings
157,i love the fact that you put thinnest rick roll an can you legally employ a cat on the search history even if it flashe on the screen for a secon you are one of the only creators that put 100 effort an etail into their content keep it up
158,i say the coolest thing in this vi eo is the esk pc saves room an it s cool to see the esk but i won er how much it cost an if it s worth buying
159,im just here to say thank you to him the generosity he has shown will forever be in my heart thanks for the perfect job
160,i own a remarkable 2 an that feeling surreal to hol was the same thing i felt when i got it its great for anyone wanting a evice to write with for school an so much thinner an easier to carry aroun than a notebook or bin er especially since you can import an export p fs for ownloa ing an submitting assignments online
161,man i love how he went from a smartphone focuse creator to just all inventions overall this is incre ible keep it up arun
162,thankyou for the effort you put into your vi eos you spen thousan s on each vi eo just for your fans respect
163,that esk pc is now on my bucket list
164,i love the fact that you put hilarious search histories at 233 this is the kin of content youtubers nee to make keep up the goo work
165,install rai for free iosan roi pc an get a special starter pack available only for the next 30 ays this is the best iphone accessory in 2022 like these wallpapers ownloa them here iphone 14 magsafe accessories
166,in spite of the huge upgra es especially for the pro mo els it woul be interesting to see how many will upgra e to the iphone 14 lineup given that the iphone 13 lineup is as popular as ever
167,honestly can t wait for the camera testing you o on the pros as a iphone 8 user anything will be an improvement though lol
168,efinitely upgra ing from my 12 pro max to the 14 pro max ill get at least half the cost of the new phone back with tra e in major upgra e in battery camera an the screen
169,in my opinion the 13 mini is the best phone ever ma e seems i m in a minority but it s brilliant
170,eh i m sticking with my 13 pro max until probably the 15 or 16 the cameras on the 14 pros are literally the biggest worthwhile change this year imo
171,im going to wait for the sche ule iphone 15 pro which will be sche ule to release in october 2023 if everything goes to plan it is expecte to have a usb c port an faster charging like the iphone 14 series this is what really matters for me
172,i might upgra e from my 11 pro to the 14 max i guess i on t care enough to spen the money on the pro max but i want the bigger isplay an better battery life
173,the information is easily igestible thanks
174,this guy is so professional an has such a calm aura about him exactly what i woul like my octor to have
175,this guy is just won erful i like that sense of humor in a octor r what is wrong with me yes
176,i ha a great time with these questions thanks wire
177,109 no just you actually got me i love how they choose professionals with such great fun an easy going personalitiesit makes science a little less ner y
178,seriously how are these weir topics so engaging probably the professionals they feature but this is a fantastic series
179,as someone with ulcerative colitis im gla to see gastrointestinal issues being put on the spotlight as well as a specialist e ucating people on this taking care of yourself before it becomes chronic is key
180,ha the pleasure of working at the same practice as r iroku uring his time in nc he truly is just as nice in person as he appears in this vi eo so nice to see a familiar face
181,r iroku has naile perfect balance of being fun an informative while remaining professional perfect for this series
182,remin er o not fall for the fake telegram an whatsapp accounts trying to have you claim a prize through texting them its fake an a scam i personally contact the winners through my official account only
183,this was one of the best cool tech episo es in a while wow that pocket operator was awesome an i ont even make music
184,i use to have that au io interface 1010 for those who wanna switch from a usb mic to xlr great choice of items this month frank
185,love those pocket operators never hear of them until this vi eo an now ive one a ton of research on em lol woul like to pick one up some ay thanks for bringing this ope tech to our attention goo sir
186,that le message boar is super cool so many options for use love watching your vi eos an seeing all of the cool affor able tech
187,love the wormier keyboar i have a full size keyboar an the compact option looks amazing an will be a better fit for my small esk
188,i love how theres infinite possibilities that you can o with the pocket operator woul love to pick up one of those for exploring it
189,my favorite cool tech ga get in this episo e was efinitely the au io interface as i am starting to get into the streaming worl great episo e an for the amazing content
190,gotta say this is one of the best episo es of the series in a while i actually think every single one of these things woul be something i go out to buy especially the le sign i finally am picking back up my plan to buil my own pc an the flexibility of the sign a s a lot of well flexibility on how i want my en game to turn out
191,teachers there are no stupi questions wolfgang puck well tracey thats a stupi question
192,hes a nice fun guy he tol my a at an event my a was cooking at that he ha never seen so many steaks cooke so perfectly so quickly an its one of his favorite memories we have a signe picture with him an my parents in it
193,i k if this was intentional but i really like how he sai practice makes better rather than practice makes perfect
194,have a rink or smoke a joint thanks chef i ll o both
195,i think its kin a cool that elizabeth haigh sent the tweet about nervous break owns the same month she opene her restaurant an now that her question is being answere she has a michellin star
196,i like that he mentione the omelette thing many years ago i took culinary classes when i consi ere trying to become a chef an an instructor i ha emphasize the importance of a goo omelette for restaurant interviews gla to know i wasnt le astray in that
197,i can t wait to put e ible flowers all over my morning cheerios
198,i love how hes wearing a bracelet that says allergic to stupi ity
199,the price of to ays bikes is absolutely bonkers oesnt make any sense whatsoever if you compare it to motorcycles or even cars
200,the price of the roa going kawasaki really tells how overprice the push bikes are
201,fun fact about horsepower its the amount of power a horse can sustain for an entire ay so a galloping horse actually has 15 horsepower
202,i love an ri e both types of two wheele transportation gcntech your talking my language
203,another great vi eo two thumbs up i know little to nothing about about motorcycle ri ing nevertheless the gcn team once again has brought another layer to overall worl of cycling which for me makes even more interesting wishing the best for scott his team
204,this was a fascinating look at something i love by some genuinely intereste people i will a that you can buil a significantly cheaper race bike for a lower key series an still have fun on the track i have a minitwin which is relatively cheap to run but a frien of mine has a litre plus missile an every time he crashes it it costs about 5k an six months at least to fix however i far prefer long a venture ri es to whizzing aroun the track all of which you can o on a minitwin
205,as a lapse superbike obsessive it always bothere me hearing gcn call top roa bikes superbikes now i mostly watch cycling an im use to it
206,hanging onto my 8t for now curious to see what oneplus oes after the 10 overall coz the 9 10 i nt move me they keep constantly moving from what ma e them great with each variant the oneplus 6 being their last great phone
207,i m waiting for the oneplus 10s or p or q
208,pretty happy with the oneplus 9 camera is killer for sunny ays on the beach the oneplus carbon fiber case makes it feel excellent in the han
209,oneplus have been making some soli looking har ware these ays that being sai it oes feel like they have been sort of trying to become the next samsung with the number of phones that they have been launching
210,you are the only youtuber who compare these two phones for the first time thank you so much
211,always here for u chris ma respect
212,oppo i oneplus so irty heart breaks for oneplus fans rip oxygen os an oneplus
213,man oneplus is in the wrong irection after carl pei left from flagship killer to forgettable company
214,nice one zoe great job keep us up to ate on the latest computer programming news great job
215,lots of profit negative tech startup companies with an over abun ant of overpai employees honestly who hasn t seen this coming
216,what slow own lol it was abnormally fast an now with the recession vcs realize many of these startups aren t profitable so they lai off people the big ones are still hiring an tech a option isn t nearly as much for it to slow own anytime soon
217,slow hirings may be cause by a rapi rising labor cost in hi tech in
218,thats really a problem with service economy most tech companies ont even pro uce a nail they o things that are intangible you cay easily live without them if netflix goes own i am sure there will not be any catastrophic event if some manufacturing companies goes own lets say the one that makes baby formula it coul trigger a panic
