Comment,Sentiment
everyone has been saying it but i’ll throw my hat in as well to any prospective college students you do not need to spend money on flagship products i am about to graduate with a business degree and have been using a 7 year old laptop and the base ipad from late 2020 both products have worked flawlessly and i have no intention of replacing them the recommendations listed are ones i would never be able to afford even with my job i’m working as well do your own research on forums to see what your peers say the best value product is i promise that if you buy a flagship product you will quickly see that you did not need it,1
shoutout to my oneplus phone and huawei laptop for getting me through university feeling premium for much less bonus ups for ikeas articulating lamps 20 and i can see all my homework incredibly well without eye strain the old door i refinished to use as a desktop and wired earbuds under hardware store earmuffs as my noisecancelling headphones and the same 2 sets of hanes underwear from target for also lasting the whole ride,1
you dont necessarily need the highend and latest tech for university i used a 2009 macbook pro throughout my years at uni had an iphone 6 and it worked out just fine whats important is to remain focused on getting that degree and graduating,1
personally i feel like this is really out of touch most students wont be able to afford these in case anyone needs it i believe dave2ds back to school video are honestly the best ones ive seen on the topic consider checking them out too before making a purchase decision,1
hey everyone good take on the video and love the recommendations if you plan on making another video such as this maybe you can also include some more budget options and best value options what i can tell from my years of studying in college and university is that your tech and needs will be based on what coursesprogramme you took for your education engineering students require computer specs that can run bim software im not sure about the other programmes but from what i can see that most students at my place has 8gb of ram for their laptops also here is my setup during my university years hope it can help anyone who are looking to buy something for their collegeuniversity years all the best laptop asus x455l upgraded to ssd with additional ram phone vivo y69redmi 10samsung a22 4g mouse logitech g102 keyboard tecware tkl ver,1
i have used galaxy tab s7 during my phd its been a lifesaver for me first of all it is really good for reading journals note taking and scribbling on the pdfs secondly it doesnt strain your eye that much when you use a computer or a laptop always at a fixed distance thirdly you get the premium version of noteshelf free with tab s7 and lastly if you are from a stem background and use a lot of illustrations or flow process diagrams you can draw those easily with the stylus on tab s7 i choose tab s7 over apple ipad air for its ease of use user interface and cost you get stylus for free with tab s7 and in most cases keyboard too with a huge student discount,1
this series is exactly what career day shouldve been such interesting and knowledgeable people,1
how does every person wired brings on this show act like theyve been in front of cameras 5000 times,0
his face when describing hops killed me “some of them smell pretty… dank “,0
seasoned craft brewery tour guide here and i’m so glad he ended on “drink what you like” sometimes people get weirdly judgmental about the beer preferences of others at the end of the day there are hundreds of beer styles for a reason so everyone can find at least one style they actually like,1
this guy is a total bro not snobby at all and just wants people to enjoy beer in whatever way they want such a contrast with your stereotypical beverage elitists,1
y’all be picking the literal best professionals for these videos not only is everyone knowledgeable but they all seem passionate and eager to teach us,1
this guy has a face made for movies a voice made for radio and a great personality i wanna see more of garrett,1
whenever we get people young enough to actually understand the internet these giant tech companies might be broken up but as long as we have 90 year old senators asking tech ceos how the internet works nothing will get done,0
i live for johns roasts of att,1
mad respect to john oliver and his team for not making us watch ads during the show major props,1
one important aspect im surprised was left out is that many of these companies like amazon literally power the internet almost 30 of the websites on the internet are stored on amazon servers giving them even more access to data trends and physical control over the internet,1
back in 2018 when john oliver did the episode on corporate consolidation it inspired me so much that i applied for a masters of research program got into a program and did my entire research thesis on tech oligopolies it was shocking to see how bad it really is oligopolies that bordered in monopolies are rampant my research essentially focused on the question of whether lack of enforcement of our antitrust laws caused this whole problem or whether lack of adequate laws were the core of the issue the answer was that it was truly both i thoroughly enjoyed my predoctoral masters thesis and am considering a phd in the future its so lovely to see john talk about this specifically on the tech sector edit wow thanks everyone for the great comments i havent published it yet otherwise i would share it with all you lovely people  i am now looking for a policy or qualitative researchanalyst job so if anyone is hiring let me know ,0
john oliver deserves an oscar for his can dolphins love you monologue,1
hey something that might interest you a couple of days ago my amazon account was closed with no warning for after hours of wasted time theyre telling me its for excessive returns which i think is an error but thats beside the point when they closed my amazon account all my amazon devices that i own for years primarily all my echo devices stopped working i lost access to the amazon photos and prime video which i pay for so apparently the devices you already own are subject to be disabled by amazon on your perceived shopping habits i assume the same applies to all other amazon devices and services like fire os tablets ring cameras and probably aws as well just wanted to make other people aware of this because they definitely dont tell you this when you buy your hardware and services,0
hey hey just a heads up i did turn the led hoodie on its just not very bright hen youre looking faceon at it you can still sort of see it on around the hood area though  if you had fun on this video heres my collection of extreme unboxing videos,1
the safety belt wouldve paired perfectly with the unicycle and those roller boot things,1
that was seriously the most enjoyable thing ive seen in awhile i forgot how rad this channel is well done sir,1
dude i love how genuine your reactions were ive had fun watching this and not only i was really interested to see what each one of those gadgets did,1
infinity dodecahedrons are seriously cool i bought another smaller one and i really enjoy it its definitely an eye catcher and a conversation starter,1
i personally enjoy the old school phones i have such a hard time hearing my iphone at max volume without the speaker on if i worked in an office i would definitely buy one people forget how ergonomic those old phones are its not particularly comfortable holding a rectangle to your head i also have physically sensitive ears so any type of headphones ear phones whatever cause me a bunch of pain looks like a good product that can both be a gag and something for people out there like me who have a tough time using a regular mobile phone,1
the fact he didnt buy the nicholas cage spoon is outrageous,0
i have to say it after watching this video it feels like the journey youre on this year has been effective it simply feels like youre enjoying life and its what i enjoy most about watching your videos you manage to pass that joy on just the musings of a random stranger ,1
i havent laughed like this for years oh my gosh arun youve nailed this one wendi ,1
quality quality quality is everything about this channel arun makes my mood happier video after video lets be searious the best part about this channel is arun making his jokes and when he shows tech,1
as somebody with a comp sci degree and a decent amount of irl experience i will say edge computing is problematic at its core because client side workload like this is a huge security breach this is why even online video games avoid client side scripting it is a huge vector for exploit it is always interesting to watch a video like this because you are blown away when you listen regarding these other technologies you may not know allot about but when they cover a technology you know about you realize you must question the quality of the info in the other cases where you cannot determine the quality yourself,0
the fire suppression without water was incredible it could save many lives and property especially if it could be auto activated like a heat detector imagine how much property and how many sleeping people could be saved especially if this had a built in alarm and was rigged to keep hallways clear of fire what an inventionwow,1
id really appreciate a study into the potential advantages of meta materials in manipulating light emf heat and even replacing silicon as semiconductors nearly every industry can benefit from the improvements and cost reductions meta materials can provide really enjoy your videos thank you,1
i was totally shocked that fusion power generation wasnt included possibly as big a leap as quantum computing in its impact on humanity,0
i love the one about the hydrogen fuel cellsconsidering this technology has been around for about 20 yearsjust hasnt been used due to a lack of pressure on the industry and the fact that the patent was buried by large corporate interests,1
i wish that when people talked about types of skin damage theyd acknowledge what that looks like for people with darker skin we dont get red rashes after sunburn even my darkest bruises are often difficult to spot because of hyperpigmentation the stages of healing for cuts looks vastly different because we dont see the same change in colors around the wound sight not to mention when you look for images to identify clinical signs 99 of those images are of lighter skin and only marginally helpful to us looking to identify potentially serious medical issues,0
she has a very effective way of delivering information in a way that is accessible love her,1
if the lead singer is bret michaels then im sure it is poison that had me laughing for ages ,1
anne is so cool she makes me want to reevaluate my life choices and return to college to become a toxicologist,1
poison support is one of the more interesting ones of this series im glad to see anne back in the seat and schooling us hoping for more,1
my son had botox injections in his legs for years to relax his muscles enough so he could wear splits he has cerebral palsy its crazy knowing that this life changing treatment is also the most dangerous poison,0
my mom wouldve gone nuts for you while i was growing up lol her big parent fear was toxic chemicals and me getting poisoned so she was always lecturing me about stuff under the sink and making sure i didnt touch the pesticides for the farm once she figured out she could call pbs and theyd send her mr yuck stickers the house and barn were covered in them,0
i love how she says that it is poison in the right dose instead of the wrong dose,1
my husband got sun poisoning last year all the symptoms you described it was not fun he said his sick were he got burned felt tight for a few months after luckily he is a nurse and he was able to give me advice on how to help him in his recovery,0
marques does a fantastic job highlighting the features of the link if youre looking for the next level of webcam look no further  dope tech dope video,1
the camera is amazing and there are so many people who could benefit from it a lot,1
i’ve been playing with the insta360 link for about a week now as a college professor and edtech trainer i can tell you that this is a complete game changer for online and hybrid teaching switching from follow mode to whiteboard mode to topdown mode for demos etc is a purely magical experience,1
i honestly have to say while its still insanely expensive 3500 for that monitor isnt as bad as i was expecting and its almost reasonable like its still more than i would ever spend on a single display and im far more into having separate displays but given what its capable of the specs the tech behind it etc its not that bad i can see a few people getting real use out of something like that,1
imagine losing the cursor on that screen and trying to find it ,0
this monitor is perfect for streaming three 27“ monitors in one is amazing  but man is it expensive ,1
i can see this being good for editing and streaming reading the chat and playing the game on one screen this is genius,1
geez i need a dedicated studio for all of this dope tech in my future,1
this has gotta be one of the best dope techs everything here is a hit that i’m def writing down for later,1
i’m always looking forward to these every month so thank you for making them honestly that little lamp and speaker caught my eye the flickering is really cool to me and the speaker is a nice extra,1
the sound test killed me that was hilarious and the wrist rest is brilliant i often get marks on my wrist from my mousepad,1
what a tough selection this month whether it be the soundbar the lamp speaker or even the pc panel display they all seem something that would really improve my set up but for me it may have to be the soundbar one looks smart has nice rgb and a decent size and price very good month of tech this month,1
i absolutely love this series all of the items were neat but the only one i would actually benefit from would be the chair wheels i have a regular office chair that has to roll on carpet and it is kind of a pain,1
that sensor panel is definitely convenient been wanting to make my own with a raspberry pi but just find myself getting off track super cool to just be able to purchase and go,1
the rgb sound bar would be perfect for my setup i’ve been using the speakers in my monitor as my main sound system so it would be a nice upgrade for me,1
i always love franks energy i also look forward to the end of every month thinking about this series i love the tiltednation soundbar and i need that for my set up,1
always great to see this series so many cool things this month my office setup could use those chair wheels,1
this series has helped me and my friends find some helpful tech that has helped our setups the pc panel is gonna be a huge upgrade,1
we need the under 100 for august as well this is the best series out there,1
one really important point those ionizers can produce potentially dangerous levels of ozone due to the negative ions they create in the air id be cautious of all air ionizers unless they are advertised specifically as bipolar ionizers the one that you recommended does produce ozone which can be very harmful,0
been a good while since ive been a student but i still watched the vid to find out what cool gadgets are out there didnt think id be walking away from it with a productivity tip that idea of the simple timer is so good instead of devices that can also do time great vid frank,1
the desktop lamp is definitely my favorite it’s also something i’ve been looking for because i updated to a keyboard that doesn’t have shine through keycaps so it’s definitely a need too,1
i’m not a student however i always love seeing the tech always looking to change and upgrade my desk setup for work,1
fantastic video frank you always bring really cool stuff to the front that most of us havent seenheard anything about hope you and the fam are doing well xd btw that kb for only 100 i know theyve gotten a lot cheaper but hot damn i dont need it but i want it lol my biggest complaint with 60 kbs is the lack of arrow keys and this has those and looks super sleek with those colors love it take care man,1
ugh hate when my summer holidays end at least you brighten my mood with this top tech series thanks,1
awesome variety of products i also like that you had more than five or six items love the budget finds ,1
you missed a feature on the airbolt instead of using the big part of the loop to lock your zippers lock the zippers on the loop where the 2 notches are that way you cant open the bag 3 inches,0
its so crazy to me ive watched you all the way through middle school till college now over six years and youve grown so much keep working big man reguardless of your age middle school highschool collegeuniversity we gotchu covered,1
 for all the coffee lovers don’t forget to check out cometeer and save 20 on your first order   watch best gifts under 20,1
the kablecard is by far my favorite item on this list when i first saw you have it on the channel i immediately bought it so easy to carry and being able to charge anything with it is great,1
i just wanted to say thank you for making such amazing content we notice all the hard work you do and appreciate it so much,1
as a specialty coffee lover those cometeer pods are amazing if i didnt enjoy the long process it takes to brew a fresh cup of coffee id 100 buy them all the time,1
i wasn’t prepared for the immediate start lol,0
thanks for consistently providing great videos every time i purchase a new device i come to your channel to find out the best products for it,1
love these accessories you always make great videos,1
love your videos i really hope one day you make a worksite edc like for construction workers or electricians much love,1
love watching your videos just waiting for that best accessories for pixel 6 video,1
love your vids mankeep up the good work,1
be careful with the katchy they are known to start smoking at the top so possible fire hazard its possible that this issue could have been fixed with the newer models but just giving you a heads up great video,1
am i the only one that actually watches these with snacks and drinks  been here since 1 ,1
gotta let your son pick some boxes now he’s old enough to point one out start him in the family business early ,1
i love all the interactions and laughs with everyone in this video personally i think j picked the best tech,1
okay j that 130 was definitely worth it i might get me one a good buy for a traveling tech head,1
still the best series to watch while indulging in a meal cant believe its already the 47th video,1
i absolutely love your wife’s expressions when she’s interacting with you another gundam play games with you giggle… cracks me up,1
thanks for the heads up about grover im a tech reviewer and had never heard of it could be a really nice way for me to get my hands on some items to review very appreciated,1
i love you guys i hope you know that  you guys brighten my day with these massive tech unboxing videos,1
the whole idea of the interchangeable battery to keep going of the steel series is exactly the reason why xbox still uses aa batteries for their controllers i think is in an undervalued decision from xbox,0
in my experience burnout comes from realizing that improved performance doesnt produce improved rewards it produces more work the response to a job well done is never a couple days off or a timely bonus instead good work is rewarded with the demand for twice as much work in the same amount of time firms see young workers as a productivity sponge to be squeezed for all its worth young people are almost never treated as the companys future,0
i am 50 years old working in the high tech industry mentally tired and sick of the weekly 8 to 5 routine never got a proper day off even through the pandemic hats off to the millenials and genz that think differently and put more weight on living rather than just working,0
i think the pandemic has taught people the importance of multiple streams of income unfortunately having a job doesn’t mean security,0
successful people dont become that way overnight what most people see at a glance wealth a great career purposeis the result of hard work and hustle over time i pray that anyone who reads this will be successful in life,1
as someone who used to work 80 hours a week quitting my job to become a freelancer was the best thing i have ever done sure i still work a lot of hours and often close to 7080 hrs a week i feel like i am doing this for myself and not some corporation,1
i have a high paying tech job that i’m about to leave i feel incredibly blessed and privileged to have had it even though i worked hard to get to where i am i was promoted very fast after 5 years i know it’s something many people would love to have and honestly i’m happy that someone else who has worked hard will get my spot ultimately i became burnt out and just need some time to reset my life i have lived humbly saved every thing i could paid off debts as quickly as possible and have enough to live for 8 months to a year i’m hoping to come back into the industry as a healthier employee or have found something else fulfilling for anyone wishing they had one of these jobs or feel frustrated by people that appear to be complaining i hope you achieve your dream and get one you can do it keep at it taking one of these jobs to be financially secure is a blessing i am taking a break because my mental health and stress hospitalized me don’t let that scare you i just have my own personal stuff too ,1
i’m a software developer i understand the struggle but us tech workers should count our lucky stars we are very privileged to be where we are most jobs outside of tech have less perks much lower pay and more stress i am grateful everyday to be in this field once i accumulate enough wealth to purchase my freedom i’ll see myself out maybe in the meantime i will run the race as long as i have to,1
the thing is if you give someone all of these perks and a flexible schedule you need to also give them the freedom to use that flexibility you must make it clear that the company expects you to take down time and you will not be frowned upon either officially or unofficially leadership needs to model that behavior by taking time off and making sure everyone knows theyre taking time off this also empowers your teams letting them know that you trust them to work without constantly staring over their shoulders,1
compare that to physicians only 42 said they were burned out yes indeed a perfectly acceptable percentage,1
i worked a low paying tech job for six years and still felt the burn out the problem is that tech is very fast paced and competition focused you can barely keep up though i got promoted regularly my higher ups told me the truth before they left they said that i was severely underpaid based on my skills essentially i branded myself a one stop shop for the marketing department as i am both technically knowledgeable people oriented and strategic i maxed out at 50k so i decided to jump ship with little planned now i run a financial agency with my husband and we make 250k a year as entrepreneurs and we have the freedom to set our own lifestyle,0
that boat pod looks a lot like a saiyan space capsule… i need one lol,1
those window breakers seems like an easy way to rob someone’s car,0
i would love the glasses and the digital artwork frame,1
cool ,1
nice i love it,1
damn the mueral canvas is nice too pricey,0
if you could limit your products to things that are available retail it would be awesome kickstarter and indiegogo etc dont count too many scams and failed products and no protections,0
from all the stuff mentioned i have the dji mic amazing recording device,1
this guy must be the richest youtuber i hear his voice on most tech channel ,1
from all the stuff mentioned i have the dji mic amazing recording device,1
that motion alarm for protecting your laptop makes me laugh if you are taking a break away from your workplace do you really think that the alarm feature would deter a thief from simply knocking the device to the floor pick up the laptop and perhaps step on the alarm and crush it in a moment of disdain by the time you get back with your latte after your phone notifies you of your impending bad luck your laptop will be off on an extended trip,0
that cable organiser would be incredible in my dorm room,1
the trene control alarm will not deter someone who really wants it they will just knock that gadget off and run with your property,0
enjoyed your video and i gave it a thumbs up,1
i spent hours researching dash cams a year or so ago and it’s almost maddening how awful sparse and misrepresented information on dash cams is i was totally surprised how under developed they are this is a video that is really necessary,0
vids like these are definitely a service for looking out for everyone to avoid buying crap and hype in dashcams well done in the research thanks ltt,1
i did not expect to love this video as much as i did it epitomizes the very best of youtube in my opinion a wellmade video with a wellconstructed narrative hosted flawlessly and provides a genuinely good service to everyone even if they are not in the market for these products love your work ltt team,1
thank you linus for spending the big bucks and testing all these cameras for our benefit i will be keeping your recommendations in mind when i purchase my camera,1
this is the kind of content that we need calling out trash markets and helping people find honest answers doing the sidebyside comparisons they cant do thanks for this glad to know the rove r24k i got as a gift is not far from really the peak in the market and is good enough if not overpriced a bit,1
yup its amazing though how the market then changes brands for each country in germany we have an entirely different line of knockoff chinese brands which ultimately look alike same goes for the australian american market i am kinda stoked to see though what sort of dashcams are actually used within south korea japan if anybody could give a hint to that i mean surely they must have great dashcams right japan being the leading technology country in the 80s and having a severe amount of car enthusiasts and well south korea being well the main birth place of any technology centre and fab well at least a good portion in my mind i bought this one due to a recommendation from a friend of mine problem i have with it is quality related the gsensor broke not long after i bought the thing and started using it kinda unfortunate this creates an issue of the thing constantly making emergency recordings and in that mode you cant disable the screen from flashing so at night drives youll really get beamed in your faze and think someone put a flashlight up to your head nope its your f dashcam you can improve further the video quality for eg when experincing intense sun glare which is usually caused on these by using a ndfilter you just have to find your own way to mount them usually there is full filter clamping solutions because youll have to overshoot with the filter anyhow i didnt do this yet as i did not find it nessecary to do so but a big german dashcam clip compilation maker did recommend this in one of his dashcam review videos half a year ago or so name of the channel is eure videos fahrnünftig german amazon thieye cv3211 american market jansite nexigo d80 australian nz market volway,1
in all fairness the viofo actually looks pretty great actually worth considering over the thinkware f70 if the budget isnt too tight,1
when i went looking for a dashcam my main criteria was that it has a super cap instead of a battery cause i really dont think the batteries would handle the 20 to 30c temps in winter and the exact opposite in the summer along with however much the sun heats up the interior i know you can take them off but i kinda wanted an install and forget about it kind of system for actual performance its much better to just find someone elses footage cause the resolution and other specs are very misleading unless you really know your camera sensor specs,0
i had my suspicions about this for a long time thank you for finally calling this issue out it sounds like theres a hole in the market for a truly high quality dashcam thats not chinese crap hopefully some tech company sees this and swoops in im tired of all these countless trash brands on amazon with unpronounceable names,0
ive been wanting to make this video for such a long time that royole display was just so hard to get hold of by holy cow was it worth it to check out my other ridiculous tech unboxings,0
i love the fact that you put “thinnest rick roll” and “can you legally employ a cat” on the search history even if it flashed on the screen for a second you are one of the only creators that put 100 effort and detail into their content keep it up,1
i’d say the coolest thing in this video is the desk pc saves room and it’s cool to see the desk but i wonder how much it cost and if it’s worth buying,1
im just here to say thank you to him the generosity he has shown will forever be in my heart thanks for the perfect job,1
i own a remarkable 2 and that feeling surreal to hold was the same thing i felt when i got it its great for anyone wanting a device to write with for school and so much thinner and easier to carry around than a notebook or binder especially since you can import and export pdfs for downloading and submitting assignments online,1
man i love how he went from a smartphone focused creator to just all inventions overall this is incredible keep it up arun ,1
thankyou for the effort you put into your videos you spend thousands on each video just for your fans respect ,1
that desk pc is now on my bucket list ,1
i love the fact that you put hilarious search histories at 233 this is the kind of content youtubers need to make keep up the good work ,1
install raid for free  iosandroidpc and get a special starter pack  available only for the next 30 days this is the best iphone accessory in 2022  like these wallpapers download them here  iphone 14 magsafe accessories ,1
in spite of the huge upgrades especially for the pro models it would be interesting to see how many will upgrade to the iphone 14 lineup given that the iphone 13 lineup is as popular as ever,1
honestly can’t wait for the camera testing you do on the pros as a iphone 8 user anything will be an improvement though lol,1
definitely upgrading from my 12 pro max to the 14 pro max ill get at least half the cost of the new phone back with trade in major upgrade in battery camera and the screen,1
in my opinion the 13 mini is the best phone ever made seems i’m in a minority but it’s brilliant,1
eh i’m sticking with my 13 pro max until probably the 15 or 16 the cameras on the 14 pros are literally the biggest worthwhile change this year imo,1
im going to wait for the scheduled iphone 15 pro which will be scheduled to release in october 2023 if everything goes to plan it is expected to have a usb c port and faster charging like the iphone 14 series this is what really matters for me,1
i might upgrade from my 11 pro to the 14 max i guess i don’t care enough to spend the money on the pro max but i want the bigger display and better battery life,1
the information is easily digestible thanks,1
this guy is so professional and has such a calm aura about him exactly what i would like my doctor to have,1
this guy is just wonderful i like that sense of humor in a doctor dr what is wrong with me yes,1
i had a great time with these questions thanks wired ,1
109 ‘no just you’ actually got me i love how they choose professionals with such great fun and easy going personalitiesit makes science a little less nerdy,1
seriously how are these weird topics so engaging probably the professionals they feature but this is a fantastic series,1
as someone with ulcerative colitis im glad to see gastrointestinal issues being put on the spotlight as well as a specialist educating people on this taking care of yourself before it becomes chronic is key,1
had the pleasure of working at the same practice as dr iroku during his time in nc he truly is just as nice in person as he appears in this video so nice to see a familiar face,1
dr iroku has nailed perfect balance of being fun and informative while remaining professional perfect for this series,1
reminder do not fall for the fake telegram and whatsapp accounts trying to have you claim a prize through texting them its fake and a scam i personally contact the winners through my official account only,0
this was one of the best cool tech episodes in a while wow that pocket operator was awesome and i dont even make music,1
i used to have that audio interface 1010 for those who wanna switch from a usb mic to xlr great choice of items this month frank ,1
love those pocket operators never heard of them until this video and now ive done a ton of research on em lol would like to pick one up someday thanks for bringing this dope tech to our attention good sir,1
that led message board is super cool so many options for use love watching your videos and seeing all of the cool affordable tech,1
love the wormier keyboard i have a full size keyboard and the compact option looks amazing and will be a better fit for my small desk,1
i love how theres infinite possibilities that you can do with the pocket operator would love to pick up one of those for exploring it,1
my favorite cool tech gadget in this episode was definitely the audio interface as i am starting to get into the streaming world great episode and for the amazing content,1
gotta say this is one of the best episodes of the series in a while i actually think every single one of these things would be something id go out to buy especially the led sign i finally am picking back up my plan to build my own pc and the flexibility of the sign adds a lot of well flexibility on how i want my endgame to turn out,1
teachers there are no stupid questions wolfgang puck well tracey thats a stupid question,0
hes a nice fun guy he told my dad at an event my dad was cooking at that he had never seen so many steaks cooked so perfectly so quickly and its one of his favorite memories we have a signed picture with him and my parents in it d,1
idk if this was intentional but i really like how he said “practice makes better” rather than “practice makes perfect”,1
“have a drink or smoke a joint” thanks chef i’ll do both,1
i think its kinda cool that elizabeth haigh sent the tweet about nervous breakdowns the same month she opened her restaurant and now that her question is being answered she has a michellin star,1
i like that he mentioned the omelette thing many years ago i took culinary classes when i considered trying to become a chef and an instructor i had emphasized the importance of a good omelette for restaurant interviews glad to know i wasnt led astray in that,1
i can’t wait to put edible flowers all over my morning cheerios,1
i love how hes wearing a bracelet that says allergic to stupidity,1
the price of todays bikes is absolutely bonkers doesnt make any sense whatsoever if you compare it to motorcycles or even cars,0
the price of the roadgoing kawasaki really tells how overpriced the push bikes are,0
fun fact about horsepower its the amount of power a horse can sustain for an entire day so a galloping horse actually has 15 horsepower,1
i love and ride both types of two wheeled transportation  gcntech your talking my language,1
another great video two  thumbs up i know little to nothing about about motorcycle riding nevertheless the gcn team once again has brought another layer to overall world of cycling which for me makes even more interesting wishing the best for scott his team ,1
this was a fascinating look at something i love by some genuinely interested people i will add that you can build a significantly cheaper race bike for a lower key series and still have fun on the track i have a minitwin which is relatively cheap to run but a friend of mine has a litre plus missile and every time he crashes it it costs about £5k and six months at least to fix however i far prefer long adventure rides to whizzing around the track all of which you can do on a minitwin ,1
as a lapsed superbike obsessive it always bothered me hearing gcn call top road bikes superbikes now i mostly watch cycling and im used to it,0
hanging onto my 8t for now curious to see what oneplus does after the 10 overall coz the 9 10 didnt move me they keep constantly moving from what made them great with each variant  the oneplus 6 being their last great phone,1
i’m waiting for the oneplus 10s or p or q,1
pretty happy with the oneplus 9 camera is killer for sunny days on the beach the oneplus carbon fiber case makes it feel excellent in the hand,1
oneplus have been making some solid looking hardware these days that being said it does feel like they have been sort of trying to become the next samsung with the number of phones that they have been launching,1
you are the only youtuber who compared these two phones for the first time thank you so much ,1
always here for u chris mad respect,1
oppo did oneplus so dirty  heart breaks for oneplus fans rip oxygen os and oneplus,0
man oneplus is in the wrong direction after carl pei left from flagship killer to forgettable company,0
nice one zoe great job keep us up to date on the latest computer programming news great job ,1
lots of profit negative tech startup companies with an over abundant of overpaid employees…honestly who hasn’t seen this coming,0
what slowdown lol it was abnormally fast and now with the recession vcs realized many of these startups aren’t profitable so they laid off people the big ones are still hiring and tech adoption isn’t nearly as much for it to slow down anytime soon,0
slow hirings may be caused by a rapid rising labor cost in hi tech ind,0
thats really a problem with service economy most tech companies dont even produce a nail they do things that are intangible you cay easily live without them if netflix goes down i am sure there will not be any catastrophic event if some manufacturing companies goes down lets say the one that makes baby formula it could trigger a panic,0
good video as usual ,1
the future of tech is looking more and more amazing,1
the future of tech is soo beautiful,1
good day future tech i noticed your excellent video and am impressed with your amazing sharing on products wed love to collab on a new product experience were working on what would be the best email to contact you,1
could coolper become the average new yorker’s dream hmm make that every ‘coffee lover’ can’t help but notice pixy’s here again a nice hands free it is,1
enjoyed your video and i gave it a thumbs up for the support of your channel,1
